id,name
,ACM Conference on Management of Data
,International Journal of Human Computer Studies
,AAAI Conference on Artificial Intelligence
,Artificial Intelligence
,European Cryptology Conference
,IEEE International Conference on Computer Communications
,Journal of the ACM
,ACM Conference on Computer and Communications Security
,Real-Time Systems Symposium
,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference
,IEEE Transactions on Parallel and Distributed Systems
,ACM Transactions on Computer-Human Interaction
,IEEE Transactions on Information Forensics and Security
,ACM Transactions on Computer Systems
,SIAM Journal on Computing
,USENIX Symposium on Operating Systems Design and Implementations
,ACM Transactions on Database Systems
,Architectural Support for Programming Languages and Operating Systems
,Conference on File and Storage Technologies
,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication"
,ACM SIGGRAPH Annual Conference
,International Conference on Research on Development in Information Retrieval
,IEEE Transactions on Software Engineering
,ACM Knowledge Discovery and Data Mining
,ACM Transactions on Graphics
,International Joint Conference on Artificial Intelligence
,International Journal of Computer Vision
,ACM Conference on Human Factors in Computing Systems
,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages
,ACM Symposium on Operating Systems Principles
,International Symposium on Computer Architecture
,IEEE Trans on Pattern Analysis and Machine Intelligence
,MICRO
,ACM International Conference on Mobile Computing and Networking
,VLDB Journal
,ACM Transactions on Information Systems
,IEEE Transactions on Dependable and Secure Computing
,IEEE Transactions on Visualization and Computer Graphics
,International Conference on Computer Vision
,ACM SIGPLAN Symposium on Programming Language Design & Implementation
,ACM Transactions on Programming Languages & Systems
,Information and Computation
,Journal of Cryptology
,ACM International Conference on Multimedia
,IEEE Transactions on Mobile Computing
,International Conference on Machine Learning
,IEEE Symposium on Security and Privacy
,ACM Symposium on Theory of Computing
,Security  Usenix Security Symposium
,International Conference on Very Large Data Bases
,IEEE/ACM Transactions on Networking
,International Cryptology Conference
,IEEE Transactions on Computers
,IEEE International Conference on Data Engineering
,IEEE Symposium on Foundations of Computer Science
,IEEE Transactions on Image Processing
,Journal of Machine Learning Research
,IEEE Transactions on Knowledge and Data Engineering
,IEEE Symposium on Logic in Computer Science
,International Conference on Software Engineering
,Proceedings of the IEEE
,"Conference on Object-Oriented Programming Systems, Languages, and Applications"
,ACM International Conference on Ubiquitous Computing
,High-Performance Computer Architecture
,IEEE Journal of Selected Areas in Communications
,IEEE Conference on Computer Vision and Pattern Recognition
